Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location,Geometry Point
23769,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.509549606618734,-113.5542090194007,"(53.509549606618734, -113.5542090194007)",POINT (-113.5542090194007 53.509549606618734)
88193,Square Picnic Table,Aggregate,Metal,ROSENTHAL BOULEVARD NW,4750,ROSENTHAL,Ward Nakota Isga,53.51714216977988,-113.69952506099435,"(53.51714216977988, -113.69952506099435)",POINT (-113.69952506099435 53.51714216977988)
26088,Square Picnic Table,Wood,Aggregate,111 AVENUE NW,3450,WOODCROFT,Ward Anirniq,53.560419470950634,-113.56211972477185,"(53.560419470950634, -113.56211972477185)",POINT (-113.56211972477185 53.560419470950634)
8418,Square Picnic Table,Wood,Aggregate,119 AVENUE NW,1010,ALBERTA AVENUE,Ward Métis,53.57166382074898,-113.48306012991836,"(53.57166382074898, -113.48306012991836)",POINT (-113.48306012991836 53.57166382074898)
23336,Square Picnic Table,Wood,Metal,KEILLOR TRAIL NW,5400,RIVER VALLEY WHITEMUD,Ward papastew,53.50415880714436,-113.55966003366106,"(53.50415880714436, -113.55966003366106)",POINT (-113.55966003366106 53.50415880714436)
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Métis,53.55395353631624,-113.38495331493158,"(53.55395353631624, -113.38495331493158)",POINT (-113.38495331493158 53.55395353631624)
5055,Square Picnic Table,Wood,Aggregate,176 AVENUE NW,3190,ELSINORE,Ward tastawiyiniwak,53.64054412244388,-113.50334635564761,"(53.64054412244388, -113.50334635564761)",POINT (-113.50334635564761 53.64054412244388)
10787,Square Picnic Table,Wood,Metal,84 AVENUE NW,5200,GARNEAU,Ward papastew,53.51962468764338,-113.51445611038625,"(53.51962468764338, -113.51445611038625)",POINT (-113.51445611038625 53.51962468764338)
3345,Square Picnic Table,Concrete,Aggregate,WEDGEWOOD BOULEVARD NW,4570,WEDGEWOOD HEIGHTS,Ward sipiwiyiniwak,53.48034280211751,-113.64676841323953,"(53.48034280211751, -113.64676841323953)",POINT (-113.64676841323953 53.48034280211751)
5968,Square Picnic Table,Wood,Aggregate,30 STREET NW,6390,LARKSPUR,Ward Sspomitapi,53.48035263974357,-113.38656755771109,"(53.48035263974357, -113.38656755771109)",POINT (-113.38656755771109 53.48035263974357)
40519,Square Picnic Table,Wood,Aggregate,GREENOCH CRESCENT NW,6500,MILL WOODS GOLF COURSE,Ward Karhiio,53.48138577115972,-113.42389006247946,"(53.48138577115972, -113.42389006247946)",POINT (-113.42389006247946 53.48138577115972)
62219,Square Picnic Table,Metal,Metal,BORDEN PARK ROAD NW,1240,VIRGINIA PARK,Ward Métis,53.563313153449414,-113.45969227789074,"(53.563313153449414, -113.45969227789074)",POINT (-113.45969227789074 53.563313153449414)
14929,Square Picnic Table,Wood,Aggregate,WEST VIEW BOULEVARD NW,4620,WESTVIEW VILLAGE,Ward Nakota Isga,53.55330118792164,-113.69245605958673,"(53.55330118792164, -113.69245605958673)",POINT (-113.69245605958673 53.55330118792164)
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Métis,53.55462878850249,-113.3847124476184,"(53.55462878850249, -113.3847124476184)",POINT (-113.3847124476184 53.55462878850249)
23770,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.51059353087834,-113.54779798929466,"(53.51059353087834, -113.54779798929466)",POINT (-113.54779798929466 53.51059353087834)
16693,Square Picnic Table,Wood,Aggregate,95A STREET NW,6491,MILL CREEK RAVINE NORTH,Ward papastew,53.51954708911182,-113.47521904767328,"(53.51954708911182, -113.47521904767328)",POINT (-113.47521904767328 53.51954708911182)
48998,Square Picnic Table,Wood,Metal,THIBAULT WYND NW,5640,TERWILLEGAR TOWNE,Ward pihêsiwin,53.44662378056388,-113.5873775642502,"(53.44662378056388, -113.5873775642502)",POINT (-113.5873775642502 53.44662378056388)
23770,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.508865062184476,-113.55374983528083,"(53.508865062184476, -113.55374983528083)",POINT (-113.55374983528083 53.508865062184476)
31912,Square Picnic Table,Wood,Metal,RAINBOW VALLEY ROAD NW,5550,WHITEMUD CREEK RAVINE NORTH,Ward papastew,53.484974819099016,-113.55421439541277,"(53.484974819099016, -113.55421439541277)",POINT (-113.55421439541277 53.484974819099016)
31910,Square Picnic Table,Wood,Metal,RAINBOW VALLEY ROAD NW,5550,WHITEMUD CREEK RAVINE NORTH,Ward papastew,53.485564095387595,-113.55642108997021,"(53.485564095387595, -113.55642108997021)",POINT (-113.55642108997021 53.485564095387595)
12344,Square Picnic Table,Wood,Aggregate,EMILY MURPHY PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.53425122444533,-113.53743632789319,"(53.53425122444533, -113.53743632789319)",POINT (-113.53743632789319 53.53425122444533)
36489,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Métis,53.55805838754676,-113.40590156771694,"(53.55805838754676, -113.40590156771694)",POINT (-113.40590156771694 53.55805838754676)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.529483456318786,-113.5535000292456,"(53.529483456318786, -113.5535000292456)",POINT (-113.5535000292456 53.529483456318786)
23336,Square Picnic Table,Wood,Metal,KEILLOR TRAIL NW,5400,RIVER VALLEY WHITEMUD,Ward papastew,53.503986239609915,-113.55822286166803,"(53.503986239609915, -113.55822286166803)",POINT (-113.55822286166803 53.503986239609915)
6102,Square Picnic Table,Wood,Metal,19A AVENUE NW,6460,MEYOKUMIN,Ward Karhiio,53.45003545941461,-113.42987082655887,"(53.45003545941461, -113.42987082655887)",POINT (-113.42987082655887 53.45003545941461)
11973,Square Picnic Table,Wood,Metal,106 STREET NW,1030,CENTRAL MCDOUGALL,Ward O-day'min,53.555377299997836,-113.50315550000003,"(53.555377299997836, -113.50315550000003)",POINT (-113.50315550000003 53.555377299997836)
2099,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.53378330111572,-113.524233646771,"(53.53378330111572, -113.524233646771)",POINT (-113.524233646771 53.53378330111572)
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Métis,53.55350012777388,-113.38850428679835,"(53.55350012777388, -113.38850428679835)",POINT (-113.38850428679835 53.55350012777388)
2099,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.53283241302724,-113.51722613157766,"(53.53283241302724, -113.51722613157766)",POINT (-113.51722613157766 53.53283241302724)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.52701479020636,-113.54481732376873,"(53.52701479020636, -113.54481732376873)",POINT (-113.54481732376873 53.52701479020636)
1033,Square Picnic Table,Unknown,Unknown,102 AVENUE NW,1090,DOWNTOWN,Ward O-day'min,53.544011591553975,-113.48988013958356,"(53.544011591553975, -113.48988013958356)",POINT (-113.48988013958356 53.544011591553975)
10356,Square Picnic Table,Wood,Aggregate,69 AVENUE NW,6290,HAZELDEAN,Ward papastew,53.50516242574104,-113.47737253941963,"(53.50516242574104, -113.47737253941963)",POINT (-113.47737253941963 53.50516242574104)
2099,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.532848392944175,-113.51713001671297,"(53.532848392944175, -113.51713001671297)",POINT (-113.51713001671297 53.532848392944175)
8130,Square Picnic Table,Wood,Metal,113 STREET NW,1170,PRINCE RUPERT,Ward O-day'min,53.56162298263714,-113.5145413206122,"(53.56162298263714, -113.5145413206122)",POINT (-113.5145413206122 53.56162298263714)
